time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,main_cycles,t1_cycles,t2_cycles,t3_cycles
35.39,-1195124.332,-6193654.714,952769.1882,-422.98125,235.966674,186.535593,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006205,0.016314,0.000119,1,1,1,1,1,1,1,1,3540,747,1604,1707
35.4,-1195118.576,-6193624.834,952806.3739,-422.753636,237.133321,185.322712,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006205,0.016314,0.000119,1,1,1,1,1,1,1,1,3541,747,1604,1707
35.41,-1195118.576,-6193624.834,952806.3739,-422.753636,237.133321,185.322712,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006205,0.016313,0.000119,1,1,1,1,1,1,1,1,3542,747,1604,1707
35.42,-1195118.576,-6193624.834,952806.3739,-422.753636,237.133321,185.322712,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006205,0.016313,0.000119,1,1,1,1,1,1,1,1,3543,747,1604,1707
35.43,-1195118.576,-6193624.834,952806.3739,-422.753636,237.133321,185.322712,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006205,0.016313,0.000119,1,1,1,1,1,1,1,1,3544,747,1604,1707
35.44,-1195118.576,-6193624.834,952806.3739,-422.753636,237.133321,185.322712,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006205,0.016313,0.000119,1,1,1,1,1,1,1,1,3545,747,1604,1707
35.45,-1195118.576,-6193624.834,952806.3739,-422.753636,237.133321,185.322712,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006205,0.016313,0.000119,1,1,1,1,1,1,1,1,3546,747,1604,1707
35.46,-1195118.576,-6193624.834,952806.3739,-422.753636,237.133321,185.322712,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006205,0.016313,0.000119,1,1,1,1,1,1,1,1,3547,747,1604,1707
35.47,-1195118.576,-6193624.834,952806.3739,-422.753636,237.133321,185.322712,0,0,0,-0.349759,-0.349759,-0.349759,-0.349759,0.33605,0.436489,6.2831,0.000751,-0.006206,0.016313,0.00012,1,1,1,1,1,1,1,1,3548,747,1604,1707
35.48,-1195118.576,-6193624.834,952806.3739,-422.753636,237.133321,185.322712,0,0,0,-0.349759,-0.349759,-0.349759,-0.349759,0.33605,0.436489,6.2831,0.000751,-0.006206,0.016313,0.00012,1,1,1,1,1,1,1,1,3549,747,1604,1707
35.49,-1195118.576,-6193624.834,952806.3739,-422.753636,237.133321,185.322712,0,0,0,-0.349759,-0.349759,-0.349759,-0.349759,0.33605,0.436489,6.2831,0.000751,-0.006206,0.016313,0.00012,1,1,1,1,1,1,1,1,3550,747,1604,1707
35.5,-1195115.681,-6193609.806,952824.876,-422.640326,237.714033,184.717939,0,0,0,-0.349759,-0.349759,-0.349759,-0.349759,0.33605,0.436489,6.2831,0.000751,-0.006206,0.016313,0.00012,1,1,1,1,1,1,1,1,3551,747,1604,1707
